Minutes,Players
1,"Pillari,Daniel"
4,"Sherwood,Dylan"
3,"Hammond,Jake"
2,"Bryant,Trae"
1,"Pickett,Adam"
2,"Juricek,Viktor"
4,"Ocwieja,Jack"
1,"Onwudiegwu,Malachy"
3,"O'Boyle,Matt"
2,"Gregory,Jamall"
3,"Routt,Logan"
1,"Heard,John"
1,"McGillan,Riley"
1,"Davis,Lyles"
3,"Anim,Sacar"
2,"Pettus,Trey"
2,"Bennett,Steven"
1,"Geyen,Darryl"
4,"Smith,Brandon"
1,"Christensson,Albert"
2,"Hunt,Gentry"
1,"Forbes,Jackson"
1,"LeBlanc,Mike"
1,"Stones,Michael"
1,"Williams,Matt"
3,"Crosby,John"
4,"Nzei,Michael"
3,"Gibson,Ty"
3,"Ferris,Will"
1,"Canty,Ryan"
2,"Jean,Jonathan"
1,"Hallinan,Xavier"
2,"Beach,Jack"
1,"Bakamus,Rem"
2,"Hamilton,Tyler"
2,"McManus,Collin"
1,"Dragovic,Balsa"
1,"Yoshor,Zach"
1,"Gooding,Dexter"
1,"Whitehead,Jordan"
2,"Mayot,Duol"
2,"Sparks,Austin"
2,"Mulder,Mychal"
2,"Matthews,Charles"
5,"Jones,Branford"
4,"Marlin,Matt"
1,"Plaisance,Scott"
1,"Bell,David"
1,"Bess,Javon"
1,"Van Dyk,Matt"
1,"Ahrens,Kyle"
5,"Johnson,Todd"
3,"Bryant,Jared"
2,"Rosenwinkel,Matt"
1,"Prahl,Alex"
1,"Studer,Dan"
1,"Tyler,Scotty"
1,"Blackstock,Cole"
1,"Walker,Jonathan"
1,"Holmes,Carter"
1,"Poole,Will"
2,"Avery,Travis"
1,"Mbodj,Lamine"
1,"Jiles,Matthew"
2,"Reid,Malcom"
1,"Batie,Khalil"
3,"Spiers,Joshua"
5,"Landale,Jock"
1,"Smith,JaQuan"
2,"Clark,Darion"
2,"Chambers,Tyree"
1,"Campbell,Lucas"
1,"Woodson,Brad"
7,"Variste,Jalen"
2,"London,Malik"
2,"Cressler,Nolan"
1,"Ariri,Aaron"
1,"Scruggs,Terrell"
2,"Mbachu,Victor"
1,"Epps,Devin"
1,"Evans,Austin"
1,"Ulvydas,Rokas"
5,"Bittner,Sam"
1,"Moore,Grayson"
1,"Mourning,Trey"
1,"Farrell,Patrick"
1,"Lowe,Henry"
1,"Rafferty,Kevin"
1,"Reuter,Jarred"
1,"Salt,Jack"
1,"Jones,Jeff"
2,"Stowell,Chris"
1,"Donlon,Greg"
1,"Galloway,Matt"
1,"Luckett,Leantwan"
1,"Sadlon,Hunter"
1,"Hill,Mitch"
2,"Busuttil,Brandon"
3,"Fox,Matt"
5,"Klein,Jared"
5,"McComber,Chris"
3,"Davis,CJ"
3,"Edwards,AJ"
3,"Kundrotas,Karolis"
1,"Luther,Collin"
1,"Young,Aaron"
3,"Chatfield,Andre"
1,"Burge,Al"
1,"Westrop,Saren"
1,"Nwokeabia,Benjamin"
1,"Bessick,Taylor"
3,"Hayes,Matt"
1,"Spiers,Joshua"
2,"Vucica,Jere"
1,"Pillari,Daniel"
7,"Hiepler,Ryan"
