,Minutes,Players
686,1,"Allen,Noah"
687,1,"Massie,Kyle"
688,2,"Giesler,Jake"
689,3,"Holley,Nigel"
690,2,"Brewer,Wes"
691,2,"Kerley,Kevin"
692,5,"Pickett,Adam"
693,1,"Burton,Ryan"
694,3,"Parke,Daniel"
695,1,"Smith,Charles"
696,1,"Fuller,Khalil"
697,3,"Meyer,Daniel"
698,2,"Atencia,Hansel"
699,2,"Zilli,Giacomo"
700,1,"Cannon,John"
701,3,"Begley,Devon"
702,1,"Caldwell,Tevin"
703,1,"Shaw,Martin"
704,1,"Vassor,Stephen"
705,2,"Bedart-Ghani,Khalil"
706,1,"Soffer,Dalton"
707,2,"Ukawuba,Rob"
708,7,"Izevbuwa,Osa"
709,1,"Walsh,Reilly"
710,1,"Bryant,Tre'"
711,1,"Dhillon,Samer"
712,1,"Romich,Drew"
713,1,"Harrison,James"
714,5,"Henderson,Markell"
715,1,"Wrencher,Patrick"
716,1,"Brittingham,Bruce"
717,3,"Batish,Jamie"
718,2,"Morgan,Jalen"
719,3,"Jackson II,William"
720,1,"Rivers,Spencer"
721,1,"Davis,Jay Jay"
722,3,"Amiel,Francisco"
723,2,"Leek,Deng"
724,1,"Schurman,John"
725,2,"Miller,Rayshawn"
726,4,"Ash,Jordan"
727,1,"Van Zegeren,Joey"
728,2,"Thompson,Robin"
729,2,"Peebles-Jennings,Justin"
730,1,"Rodriguez,Kaileb"
731,2,"Dillard,Davon"
732,1,"Ibaka,Igor"
733,3,"Cole,C.J."
734,1,"Mankin,Austin"
735,1,"Alade,Bola"
736,1,"Heller,Max"
737,1,"Noebel,Charlie"
738,1,"Sorkin,Roman"
739,3,"Henderson,Jay"
740,2,"Swan,Anthony"
741,2,"Avery,Travis"
742,1,"Steel,Josh"
743,3,"Aja,Kanu"
744,2,"Sinnickson,Dylan"
745,1,"Bridgewater,Brian"
746,2,"Lindsey,Jake"
747,5,"Starr,Austin"
748,1,"Galloway,Matt"
749,1,"Gehan,Gordon"
750,1,"Perpiglia,Steve"
751,2,"Brown,Harris"
752,1,"Vucetic,Sergej"
753,1,"Howard,David"
754,1,"McBride,D'Angelo"
755,3,"Pauga,Austin"
756,5,"Jacobs,Tim"
757,1,"Martin,Jordan"
758,1,"Perry,Trent"
759,1,"Price,Jodan"
760,7,"Glenn,Montae"
761,2,"Clark,Christian"
762,3,"Maloney,Matt"
763,1,"Lawrence-Ricks,Phillip"
764,1,"Daugherty,Kyle"
765,1,"Clyburn,Courtney"
766,6,"Jackson,Aaron"
767,7,"Sharp,Stephon"
768,1,"Haugh,Darin"
769,1,"Coddington,Jake"
770,8,"Bess,Javon"
771,1,"Wills,Javonte"
772,1,"Tripp,Isaiah"
773,2,"Ulvydas,Rokas"
774,2,"Wells,Nate"
775,1,"Watson,Devontae"
776,1,"Wood,Nick"
777,3,"Green,Rashawn"
778,1,"Spicer,Johnathan"
779,4,"Milligan,Boo"
780,3,"Palmer,James"
781,4,"Strollo,Ryan"
782,4,"Owona,Mike"
783,1,"Bremers,Arturs"
784,1,"Redmond,Jamar"
785,1,"LaRose,Kinnon"
786,6,"Azzinaro,John"
787,2,"Staubi,Matt"
788,5,"Rivera,Lonnie"
789,4,"Alston,Shawn"
790,5,"Nurger,Rauno"
791,3,"Bush,Zach"
792,7,"Orender,Jacob"
793,3,"Pirovic,Marko"
794,1,"Melmed,Garvey"
795,4,"Dawkins,Aubrey"
796,5,"Sparks,Austin"
797,4,"Marquetti,Malik"
798,2,"Gavrilovic,Strahinja"
799,3,"Foster,Charles"
800,2,"Gehan,Gordon"
801,2,"Prendergast,Stephen"
802,2,"Welle,Cole"
803,1,"Moesch,Aaron"
804,2,"Ariri,Aaron"
805,1,"Henderson,Markell"
806,2,"Henderson,Troy"
807,1,"Scocca,Andrew"
808,1,"Saprykinas,Haroldas"
809,1,"Printup,Rogers"
810,2,"McClenaghan,Connor"
811,1,"Daugherty,Kyle"
812,1,"Weir,Adam"
813,2,"Toppin,Malik"
814,4,"Enoch,Steven"
815,3,"Moore,Quadri"
816,4,"White,Brian"
817,3,"McDonnell,Brandon"
818,1,"Harrison,Cole"
819,1,"Voss,Conor"
820,1,"Phillips,Develle"
821,2,"Rogers,Nick"
822,1,"Alvano,Ethan"
823,1,"Brown,Blake"
824,1,"Mickle,Kevin"
825,1,"Middleton,John"
826,1,"Laster,Daniel"
827,1,"Stainbrook,Tim"
828,2,"Altheimer,Velerio"
829,1,"Brown,Avery"
830,1,"Brown,Anthony"
831,5,"Felder,Isaiah"
832,1,"Speller,Patrick"
833,1,"Shreiner,Lyrik"
834,1,"Pirog,Zach"
835,1,"Lochner,Curtis"
836,9,"Morgan,Devontae"
837,2,"Risse,Matt"
838,1,"Rifkind,Alex"
839,7,"McCarthy,Matthew"
840,1,"Vassor,Stephen"
841,4,"Schwietz,Sam"
842,3,"Holley,Nigel"
843,1,"Washington,Dewayne"
844,3,"DeJong,Gavin"
845,3,"Bradshaw,Riley"
846,1,"Crawford II,Kevin"
847,1,"McAllister,Marius"
848,1,"Allen,Nate"
849,4,"Barton,Chris"
850,1,"Egbuna,Toby"
851,2,"White-Pittman,Greg"
852,2,"Friedman,Ted"
853,2,"Rakocevic,Gligorije"
854,1,"Noebel,Charlie"
855,1,"Greene,Matt"
856,1,"Lewis,Jamal"
857,1,"Simmons,Shawn"
858,3,"LeBlanc,Mike"
859,2,"Washington Jr.,Mike"
860,2,"Xu,Oliver"
861,1,"Smith,Amir"
862,1,"Nurse,Joshua"
863,3,"Stephens,Conrad"
864,1,"Foster,Devin"
865,3,"Gregory,Jamall"
866,3,"Denny,Talbott"
867,2,"Martinez,Javier"
868,1,"McGuire,Elijah"
869,2,"Stalzer,Eli"
870,3,"Allen,Noah"
871,1,"Fowler,Nate"
872,1,"Bennett,Steven"
873,1,"Watkins,Brandon"
874,7,"Zilli,Giacomo"
875,2,"Pauga,Austin"
876,1,"Chatfield,Andre"
877,1,"Fleming,Desmond"
878,1,"McGuire,Markese"
879,1,"Harris,Darian"
880,1,"LaRose,Kinnon"
881,1,"Gottfried,Cameron"
882,1,"Cumberland,Jaevin"
883,1,"Hill-Mais,Xavier"
884,3,"Johnson,Julius"
885,1,"Toe,Terrill"
886,3,"Filipovich,Niko"
887,1,"Weethee,Will"
888,5,"Nolan,Phillip"
889,3,"Eberhardt,Sheldon"
890,6,"Liggeons,Devin"
891,4,"Duvall,Asa"
892,6,"Johnson,Wesley"
893,2,"Aholode,Herve"
894,1,"Billings,Stetson"
895,4,"Ivory,Josh"
896,1,"Wright-Foreman,Justin"
897,1,"Severyn,Lane"
898,1,"Mulder,Mychal"
899,1,"David,Jonny"
900,4,"Nairn Jr,Lourawls"
901,2,"McClenaghan,Connor"
